ta_2018_name,sa2_2018_code,sa2_2018_name
Auckland,131300,Wynyard-Viaduct
Auckland,132400,Victoria Park
Auckland,132700,Hobson Ridge North
Auckland,133200,Queen Street
Auckland,133300,Quay Street-Customs Street
Auckland,133400,Hobson Ridge Central
Auckland,133700,Shortland Street
Auckland,133800,Hobson Ridge South
Auckland,134100,Queen Street South West
Auckland,134300,Karangahape
Auckland,134500,Anzac Avenue
Auckland,134800,Auckland-University
Auckland,135100,Symonds Street North West
Auckland,135300,Symonds Street West
Auckland,135700,The Strand
Auckland,135900,Symonds Street East
Hamilton,179000,Kirikiriroa
Hamilton,179400,Hamilton Central
Tauranga,193800,Tauranga Central
Rotorua,200100,Rotorua Central
Palmerston North,230600,Palmerston North Central
Wellington,250700,Pipitea-Kaiwharawhara
Wellington,250900,Thorndon
Wellington,251400,Wellington Central
Wellington,251600,Dixon Street
Wellington,251800,Courtenay
Christchurch,325700,Christchurch Central-West
Christchurch,325800,Christchurch Central-North
Christchurch,326600,Christchurch Central
Christchurch,327000,Christchurch Central-East
Christchurch,327100,Christchurch Central-South
Dunedin,353400,Dunedin Central
