sa2_2018_code,sa2_type
341500,Tourism
346200,Tourism
357200,Tourism
347300,Tourism
346400,Tourism
357700,Tourism
348100,Tourism
357000,Tourism
357300,Tourism
348200,Tourism
311300,Tourism
348600,Tourism
259500,Tourism
352700,Tourism
346000,Tourism
347400,Tourism
147900,Tourism
346300,Tourism
333600,Tourism
343100,Tourism
345900,Tourism
357500,Tourism
357600,Tourism
346100,Tourism
311900,Tourism
249700,Transit
250500,Transit
238600,Transit
195000,Transit
173000,Transit
130200,Transit
128200,Transit
129299,Transit
132200,Transit
129900,Transit
322600,Transit
317200,Transit
335600,Transit
350700,Transit
353600,Transit
100100,Unclassified
100200,Unclassified
100300,Unclassified
100400,Residential
100500,Unclassified
100600,Residential
100700,Workplace
100800,Workplace
100900,Unclassified
101000,Unclassified
101100,Residential
101200,Residential
101300,Unclassified
101400,Unclassified
101500,Unclassified
101600,Unclassified
101700,Unclassified
101800,Residential
101900,Unclassified
102000,Unclassified
102100,Unclassified
102200,Residential
102300,Unclassified
102400,Residential
102500,Unclassified
102600,Unclassified
102700,Unclassified
102800,Unclassified
102900,Unclassified
103000,Workplace
103100,Unclassified
103200,Unclassified
103300,Unclassified
103400,Unclassified
103500,Unclassified
103600,Unclassified
103700,Unclassified
103800,Unclassified
103900,Unclassified
104000,Unclassified
104100,Unclassified
104200,Unclassified
104300,Unclassified
104400,Unclassified
104500,Unclassified
104600,Unclassified
104700,Unclassified
104800,Residential
104900,Recreational
105000,Residential
105100,Residential
105200,Residential
105300,Residential
105400,Residential
105500,Residential
105600,Recreational
105700,Residential
105800,Residential
105900,Residential
106000,Unclassified
106100,Unclassified
106200,Residential
106300,Residential
106400,Residential
106500,Residential
106600,Workplace
106700,Residential
106800,Residential
106900,Workplace
107000,Workplace
107100,Workplace
107200,Workplace
107300,Workplace
107400,Unclassified
107500,Workplace
107600,Residential
107700,Unclassified
107800,Residential
107900,Workplace
108000,Residential
108100,Unclassified
108200,Unclassified
108300,Residential
108400,Residential
108500,Residential
108600,Unclassified
108700,Unclassified
108800,Unclassified
108900,Unclassified
109000,Unclassified
109100,Unclassified
109200,Unclassified
109300,Workplace
109400,Residential
109500,Unclassified
109600,Unclassified
109700,Unclassified
109800,Recreational
109900,Recreational
110000,Unclassified
110100,Recreational
110200,Unclassified
110300,Unclassified
110400,Recreational
110500,Unclassified
110600,Residential
110700,Residential
110800,Residential
110900,Unclassified
111000,Unclassified
111100,Workplace
111200,Unclassified
111300,Workplace
111400,Recreational
111500,Recreational
111600,Residential
111700,Residential
111800,Unclassified
111900,Residential
112000,Residential
112100,Residential
112200,Unclassified
112300,Residential
112400,Unclassified
112500,Residential
112600,Residential
112700,Residential
112800,Residential
112900,Unclassified
113000,Unclassified
113100,Residential
113200,Residential
113300,Unclassified
113400,Unclassified
113500,Residential
113600,Unclassified
113700,Residential
113800,Workplace
113900,Residential
114000,Residential
114100,Unclassified
114200,Residential
114300,Recreational
114400,Residential
114500,Residential
114600,Residential
114700,Unclassified
114800,Residential
114900,Residential
115000,Unclassified
115100,Unclassified
115200,Residential
115300,Residential
115400,Residential
115500,Unclassified
115600,Unclassified
115700,Residential
115800,Residential
115900,Residential
116000,Residential
116100,Unclassified
116200,Residential
116300,Unclassified
116400,Unclassified
116500,Unclassified
116600,Unclassified
116700,Unclassified
116800,Residential
116900,Residential
117000,Unclassified
117100,Residential
117200,Residential
117300,Retail
117400,Unclassified
117500,Residential
117600,Residential
117700,Residential
117800,Residential
117900,Residential
118000,Residential
118100,Workplace
118200,Residential
118300,Unclassified
118400,Unclassified
118500,Unclassified
118600,Workplace
118700,Residential
118800,Retail
118900,Residential
119000,Residential
119100,Residential
119200,Residential
119300,Unclassified
119400,Residential
119500,Unclassified
119600,Unclassified
119700,Workplace
119800,Residential
119900,Unclassified
120000,Residential
120100,Residential
120200,Unclassified
120300,Residential
120400,Unclassified
120500,Unclassified
120600,Residential
120700,Residential
120800,Residential
120900,Residential
121000,Residential
121100,Residential
121200,Unclassified
121300,Unclassified
121400,Residential
121500,Unclassified
121600,Residential
121700,Residential
121800,Residential
121900,Unclassified
122000,Residential
122100,Residential
122200,Residential
122300,Residential
122400,Residential
122500,Residential
122600,Residential
122700,Residential
122800,Residential
122900,Residential
123000,Residential
123100,Unclassified
123200,Residential
123300,Residential
123400,Unclassified
123500,Workplace
123600,Residential
123700,Residential
123800,Residential
123900,Residential
124000,Unclassified
124100,Unclassified
124200,Residential
124300,Residential
124400,Residential
124500,Residential
