comparison,regc2018_name,mobility
previous_week,Auckland Region,0.9
previous_week,Bay of Plenty Region,1.2
previous_week,Canterbury Region,0.3
previous_week,Gisborne Region,4.3
previous_week,Hawke's Bay Region,0.9
previous_week,Manawatu-Wanganui Region,-1
previous_week,Marlborough Region,-1.7
previous_week,Nelson Region,1.4
previous_week,Northland Region,0.1
previous_week,Otago Region,-1.1
previous_week,Southland Region,-2.8
previous_week,Taranaki Region,1.6
previous_week,Tasman Region,-0.5
previous_week,Waikato Region,-0.5
previous_week,Wellington Region,1.6
previous_week,West Coast Region,2.1
previous_year,Auckland Region,-44.5
previous_year,Bay of Plenty Region,-46.6
previous_year,Canterbury Region,-48.4
previous_year,Gisborne Region,-10.1
previous_year,Hawke's Bay Region,-40.3
previous_year,Manawatu-Wanganui Region,-38.7
previous_year,Marlborough Region,-28.2
previous_year,Nelson Region,-48.4
previous_year,Northland Region,-4.1
previous_year,Otago Region,-46.1
previous_year,Southland Region,-52.5
previous_year,Taranaki Region,-52.7
previous_year,Tasman Region,-40.3
previous_year,Waikato Region,-45.5
previous_year,Wellington Region,-55.7
previous_year,West Coast Region,-25.9
