sa2_type,timestamp,pop,week,day,day_num,hour
Recreational,2020-04-06T01:00:00Z,66319,15,Mon,1,25
Recreational,2020-04-06T02:00:00Z,66343,15,Mon,1,26
Recreational,2020-04-06T03:00:00Z,66605,15,Mon,1,27
Recreational,2020-04-06T04:00:00Z,66349,15,Mon,1,28
Recreational,2020-04-06T05:00:00Z,66319,15,Mon,1,29
Recreational,2020-04-06T06:00:00Z,66278,15,Mon,1,30
Recreational,2020-04-06T07:00:00Z,66564,15,Mon,1,31
Recreational,2020-04-06T08:00:00Z,67637,15,Mon,1,32
Recreational,2020-04-06T09:00:00Z,68407,15,Mon,1,33
Recreational,2020-04-06T10:00:00Z,69084,15,Mon,1,34
Recreational,2020-04-06T11:00:00Z,68553,15,Mon,1,35
Recreational,2020-04-06T12:00:00Z,68391,15,Mon,1,36
Recreational,2020-04-06T13:00:00Z,68206,15,Mon,1,37
Recreational,2020-04-06T14:00:00Z,68012,15,Mon,1,38
Recreational,2020-04-06T15:00:00Z,67683,15,Mon,1,39
Recreational,2020-04-06T16:00:00Z,67672,15,Mon,1,40
Recreational,2020-04-06T17:00:00Z,68056,15,Mon,1,41
Recreational,2020-04-06T18:00:00Z,67592,15,Mon,1,42
Recreational,2020-04-06T19:00:00Z,67443,15,Mon,1,43
Recreational,2020-04-06T20:00:00Z,66818,15,Mon,1,44
Recreational,2020-04-06T21:00:00Z,66099,15,Mon,1,45
Recreational,2020-04-06T22:00:00Z,65619,15,Mon,1,46
Recreational,2020-04-06T23:00:00Z,65491,15,Mon,1,47
Recreational,2020-04-07T00:00:00Z,66039,15,Tue,2,48
Recreational,2020-04-07T01:00:00Z,66119,15,Tue,2,49
Recreational,2020-04-07T02:00:00Z,66093,15,Tue,2,50
Recreational,2020-04-07T03:00:00Z,66205,15,Tue,2,51
Recreational,2020-04-07T04:00:00Z,66221,15,Tue,2,52
Recreational,2020-04-07T05:00:00Z,66087,15,Tue,2,53
Recreational,2020-04-07T06:00:00Z,66106,15,Tue,2,54
Recreational,2020-04-07T07:00:00Z,66369,15,Tue,2,55
Recreational,2020-04-07T08:00:00Z,67323,15,Tue,2,56
Recreational,2020-04-07T09:00:00Z,68594,15,Tue,2,57
Recreational,2020-04-07T10:00:00Z,68979,15,Tue,2,58
Recreational,2020-04-07T11:00:00Z,68825,15,Tue,2,59
Recreational,2020-04-07T12:00:00Z,68100,15,Tue,2,60
Recreational,2020-04-07T13:00:00Z,67511,15,Tue,2,61
