sa2_type,day,hour,timestamp,day_num,week,pop
Recreational,Mon,24,2020-04-13T00:00:00Z,1,pop_2019,84587.25
Recreational,Mon,25,2020-04-13T01:00:00Z,1,pop_2019,84603.25
Recreational,Mon,26,2020-04-13T02:00:00Z,1,pop_2019,84603
Recreational,Mon,27,2020-04-13T03:00:00Z,1,pop_2019,84577.25
Recreational,Mon,28,2020-04-13T04:00:00Z,1,pop_2019,84616.75
Recreational,Mon,29,2020-04-13T05:00:00Z,1,pop_2019,84584.75
Recreational,Mon,30,2020-04-13T06:00:00Z,1,pop_2019,84132.25
Recreational,Mon,31,2020-04-13T07:00:00Z,1,pop_2019,83081.25
Recreational,Mon,32,2020-04-13T08:00:00Z,1,pop_2019,81805
Recreational,Mon,33,2020-04-13T09:00:00Z,1,pop_2019,80518.75
Recreational,Mon,34,2020-04-13T10:00:00Z,1,pop_2019,78795.75
Recreational,Mon,35,2020-04-13T11:00:00Z,1,pop_2019,77093.25
Recreational,Mon,36,2020-04-13T12:00:00Z,1,pop_2019,75625.75
Recreational,Mon,37,2020-04-13T13:00:00Z,1,pop_2019,74879
Recreational,Mon,38,2020-04-13T14:00:00Z,1,pop_2019,74066.5
Recreational,Mon,39,2020-04-13T15:00:00Z,1,pop_2019,73267.25
Recreational,Mon,40,2020-04-13T16:00:00Z,1,pop_2019,72639
Recreational,Mon,41,2020-04-13T17:00:00Z,1,pop_2019,72401.25
Recreational,Mon,42,2020-04-13T18:00:00Z,1,pop_2019,72630
Recreational,Mon,43,2020-04-13T19:00:00Z,1,pop_2019,72755.5
Recreational,Mon,44,2020-04-13T20:00:00Z,1,pop_2019,72822.5
Recreational,Mon,45,2020-04-13T21:00:00Z,1,pop_2019,72993.5
Recreational,Mon,46,2020-04-13T22:00:00Z,1,pop_2019,73066.5
Recreational,Mon,47,2020-04-13T23:00:00Z,1,pop_2019,73122.75
Recreational,Tue,48,2020-04-14T00:00:00Z,2,pop_2019,72948
Recreational,Tue,49,2020-04-14T01:00:00Z,2,pop_2019,72986.75
Recreational,Tue,50,2020-04-14T02:00:00Z,2,pop_2019,73044.75
Recreational,Tue,51,2020-04-14T03:00:00Z,2,pop_2019,73019.75
Recreational,Tue,52,2020-04-14T04:00:00Z,2,pop_2019,73039.5
Recreational,Tue,53,2020-04-14T05:00:00Z,2,pop_2019,72947.75
Recreational,Tue,54,2020-04-14T06:00:00Z,2,pop_2019,72588.5
Recreational,Tue,55,2020-04-14T07:00:00Z,2,pop_2019,71888.25
Recreational,Tue,56,2020-04-14T08:00:00Z,2,pop_2019,70891
Recreational,Tue,57,2020-04-14T09:00:00Z,2,pop_2019,70002.25
Recreational,Tue,58,2020-04-14T10:00:00Z,2,pop_2019,68931.5
Recreational,Tue,59,2020-04-14T11:00:00Z,2,pop_2019,68051.75
Recreational,Tue,60,2020-04-14T12:00:00Z,2,pop_2019,67442.5
Recreational,Tue,61,2020-04-14T13:00:00Z,2,pop_2019,67533.5
Recreational,Tue,62,2020-04-14T14:00:00Z,2,pop_2019,67431.75
Recreational,Tue,63,2020-04-14T15:00:00Z,2,pop_2019,67110
Recreational,Tue,64,2020-04-14T16:00:00Z,2,pop_2019,67164.75
Recreational,Tue,65,2020-04-14T17:00:00Z,2,pop_2019,67525.75
Recreational,Tue,66,2020-04-14T18:00:00Z,2,pop_2019,68048
Recreational,Tue,67,2020-04-14T19:00:00Z,2,pop_2019,68597.75
Recreational,Tue,68,2020-04-14T20:00:00Z,2,pop_2019,68973.75
Recreational,Tue,69,2020-04-14T21:00:00Z,2,pop_2019,69375.25
Recreational,Tue,70,2020-04-14T22:00:00Z,2,pop_2019,69520.25
Recreational,Tue,71,2020-04-14T23:00:00Z,2,pop_2019,69648
Recreational,Wed,72,2020-04-15T00:00:00Z,3,pop_2019,70507.25
Recreational,Wed,73,2020-04-15T01:00:00Z,3,pop_2019,69111.2
Recreational,Wed,74,2020-04-15T02:00:00Z,3,pop_2019,69067.2
Recreational,Wed,75,2020-04-15T03:00:00Z,3,pop_2019,69061
Recreational,Wed,76,2020-04-15T04:00:00Z,3,pop_2019,69118
Recreational,Wed,77,2020-04-15T05:00:00Z,3,pop_2019,69048.6
Recreational,Wed,78,2020-04-15T06:00:00Z,3,pop_2019,68830
Recreational,Wed,79,2020-04-15T07:00:00Z,3,pop_2019,68354
Recreational,Wed,80,2020-04-15T08:00:00Z,3,pop_2019,67701.2
Recreational,Wed,81,2020-04-15T09:00:00Z,3,pop_2019,67149.4
Recreational,Wed,82,2020-04-15T10:00:00Z,3,pop_2019,66444.2
Recreational,Wed,83,2020-04-15T11:00:00Z,3,pop_2019,65846.4
Recreational,Wed,84,2020-04-15T12:00:00Z,3,pop_2019,65809.2
Recreational,Wed,85,2020-04-15T13:00:00Z,3,pop_2019,65852
Recreational,Wed,86,2020-04-15T14:00:00Z,3,pop_2019,65917.2
Recreational,Wed,87,2020-04-15T15:00:00Z,3,pop_2019,65877.2
Recreational,Wed,88,2020-04-15T16:00:00Z,3,pop_2019,66201.2
Recreational,Wed,89,2020-04-15T17:00:00Z,3,pop_2019,66778.2
Recreational,Wed,90,2020-04-15T18:00:00Z,3,pop_2019,67473.4
Recreational,Wed,91,2020-04-15T19:00:00Z,3,pop_2019,68226.2
Recreational,Wed,92,2020-04-15T20:00:00Z,3,pop_2019,68793.2
Recreational,Wed,93,2020-04-15T21:00:00Z,3,pop_2019,69209.2
Recreational,Wed,94,2020-04-15T22:00:00Z,3,pop_2019,69479
Recreational,Wed,95,2020-04-15T23:00:00Z,3,pop_2019,69659.4
Recreational,Thu,96,2020-04-16T00:00:00Z,4,pop_2019,70488.6
Recreational,Thu,97,2020-04-16T01:00:00Z,4,pop_2019,70531.8
Recreational,Thu,98,2020-04-16T02:00:00Z,4,pop_2019,70537.2
Recreational,Thu,99,2020-04-16T03:00:00Z,4,pop_2019,70548.6
Recreational,Thu,100,2020-04-16T04:00:00Z,4,pop_2019,70607.2
Recreational,Thu,101,2020-04-16T05:00:00Z,4,pop_2019,70628.2
Recreational,Thu,102,2020-04-16T06:00:00Z,4,pop_2019,70396.6
Recreational,Thu,103,2020-04-16T07:00:00Z,4,pop_2019,70008.2
Recreational,Thu,104,2020-04-16T08:00:00Z,4,pop_2019,69512.4
Recreational,Thu,105,2020-04-16T09:00:00Z,4,pop_2019,69146.6
Recreational,Thu,106,2020-04-16T10:00:00Z,4,pop_2019,68872.4
Recreational,Thu,107,2020-04-16T11:00:00Z,4,pop_2019,68752.4
Recreational,Thu,108,2020-04-16T12:00:00Z,4,pop_2019,69002.6
Recreational,Thu,109,2020-04-16T13:00:00Z,4,pop_2019,69523.2
Recreational,Thu,110,2020-04-16T14:00:00Z,4,pop_2019,70091.4
Recreational,Thu,111,2020-04-16T15:00:00Z,4,pop_2019,70528.4
Recreational,Thu,112,2020-04-16T16:00:00Z,4,pop_2019,70875.8
Recreational,Thu,113,2020-04-16T17:00:00Z,4,pop_2019,71513.4
Recreational,Thu,114,2020-04-16T18:00:00Z,4,pop_2019,72552
Recreational,Thu,115,2020-04-16T19:00:00Z,4,pop_2019,73378.6
Recreational,Thu,116,2020-04-16T20:00:00Z,4,pop_2019,74188.6
Recreational,Thu,117,2020-04-16T21:00:00Z,4,pop_2019,74886
