days,sa2_type,mobility
2020-05-10,Retail,-64.73
2020-04-11,Retail,-71.94
2020-03-03,Workplace,31.8
2020-04-19,Tourism,-80.12
2020-03-08,Transit,19.56
2020-03-20,Residential,18.55
2020-03-22,Recreational,44.4
2020-04-08,Residential,-43
2020-03-31,Residential,-48.87
2020-04-06,Transit,-55.69
2020-04-10,Transit,-53.42
2020-03-04,Recreational,26.07
2020-04-25,Retail,-73.85
2020-03-04,Workplace,35.91
2020-04-12,Tourism,-78.08
2020-03-24,Residential,-16.77
2020-04-10,Workplace,-87.86
2020-03-08,Residential,33.97
2020-04-20,Residential,-45.92
2020-04-06,Workplace,-73.5
2020-04-07,Workplace,-72.32
2020-03-18,Workplace,20.98
2020-04-15,Retail,-71.44
2020-03-18,Residential,21.13
2020-05-06,Residential,-18.55
2020-05-04,Recreational,-7.36
2020-05-10,Recreational,-40
2020-04-22,Workplace,-68.44
2020-05-05,Transit,-28.72
2020-03-13,Recreational,36.64
2020-03-27,Residential,-46.7
2020-04-19,Workplace,-58.06
2020-03-04,Retail,17.85
2020-05-03,Workplace,-43.43
2020-03-13,Tourism,12.86
2020-03-20,Tourism,-11.73
2020-03-20,Recreational,37.34
2020-03-14,Workplace,8.03
2020-03-25,Tourism,-53.39
2020-03-12,Tourism,23.19
2020-04-30,Workplace,-41.9
2020-03-25,Workplace,-45.57
2020-03-15,Residential,25.07
2020-04-26,Recreational,-48.73
2020-03-16,Residential,21.78
2020-03-14,Recreational,36.01
2020-05-07,Recreational,68.16
2020-04-16,Workplace,-71.02
2020-04-06,Residential,-47.45
2020-03-02,Tourism,13.13
2020-03-11,Residential,31.27
2020-03-07,Retail,2.58
2020-04-23,Transit,-44.98
2020-04-08,Recreational,29.42
2020-04-16,Recreational,15.06
2020-04-24,Tourism,-69.65
2020-05-09,Tourism,-65.77
2020-04-28,Residential,-21.79
2020-04-09,Tourism,-70.34
2020-03-29,Residential,-22.1
2020-03-17,Residential,22.26
2020-03-11,Workplace,33.68
2020-03-07,Tourism,7.56
2020-04-27,Retail,-77.04
2020-05-05,Residential,-22.4
2020-04-17,Transit,-54.2
2020-03-22,Residential,2.67
2020-03-08,Recreational,74.89
2020-05-07,Residential,-17.18
2020-05-05,Recreational,20.64
2020-03-30,Workplace,-75.93
2020-04-14,Residential,-45.66
2020-03-31,Retail,-76.24
2020-05-07,Retail,-43.39
2020-03-15,Workplace,7.32
2020-04-01,Retail,-75.43
2020-03-15,Transit,17.01
2020-04-20,Retail,-71.94
2020-03-30,Tourism,-74.1
2020-03-28,Recreational,-37.85
2020-03-06,Workplace,28.11
2020-04-09,Retail,-68.64
2020-04-20,Tourism,-68.07
2020-04-03,Residential,-41.4
2020-04-26,Residential,-11.37
2020-03-26,Retail,-75.57
2020-04-05,Transit,-7.38
2020-03-08,Retail,2.78
2020-04-12,Residential,-17.83
2020-05-01,Residential,-22.21
2020-04-09,Workplace,-70.57
2020-04-12,Transit,-17.06
2020-04-06,Tourism,-70.76
2020-03-12,Recreational,36.19
2020-05-01,Retail,-47.64
2020-03-27,Workplace,-73.84
2020-03-13,Workplace,27.38
2020-03-17,Workplace,22.26
2020-05-02,Recreational,-30.07
2020-03-05,Retail,11.43
2020-04-17,Workplace,-70.71
2020-03-23,Retail,2.71
2020-03-06,Residential,29.41
2020-03-26,Transit,-23.65
2020-04-05,Recreational,-50.95
2020-04-17,Tourism,-71.44
2020-03-21,Transit,-10.77
2020-03-04,Tourism,18.2
2020-03-04,Transit,43.4
2020-03-22,Tourism,-21.33
2020-05-04,Tourism,-55.13
2020-04-24,Recreational,-31.89
2020-05-03,Retail,-66.68
2020-04-07,Residential,-44.79
2020-03-29,Retail,-81.45
2020-05-04,Retail,-46.47
2020-04-13,Residential,-57.91
2020-04-15,Residential,-43.73
2020-04-03,Recreational,-28
2020-04-22,Recreational,26.52
2020-04-21,Retail,-69.61
2020-04-28,Retail,-43.57
2020-04-20,Recreational,-21.69
2020-04-30,Transit,-24.22
2020-03-28,Workplace,-68.45
2020-03-12,Transit,36.64
2020-03-25,Residential,-28.57
2020-03-13,Transit,38.46
2020-05-01,Workplace,-42.9
2020-03-14,Transit,-1.92
2020-04-14,Workplace,-72.42
2020-03-02,Transit,35.76
2020-03-09,Workplace,21.17
2020-03-21,Tourism,-33.69
2020-03-19,Tourism,-4.79
2020-03-16,Tourism,8.48
2020-04-04,Retail,-79.24
2020-04-20,Transit,-55.35
2020-03-08,Workplace,14.81
2020-03-14,Tourism,15.29
2020-03-20,Transit,12.9
2020-03-04,Residential,32.38
2020-03-02,Residential,25.43
2020-04-09,Recreational,22.03
2020-03-22,Transit,7.02
2020-03-09,Transit,30.41
2020-05-03,Residential,-8.66
2020-04-27,Tourism,-83.22
2020-04-16,Residential,-42.66
2020-03-14,Retail,3.82
2020-03-30,Residential,-51.07
2020-03-19,Transit,28.23
2020-03-07,Residential,30.06
2020-03-23,Residential,14.72
2020-04-28,Recreational,37.94
2020-03-15,Tourism,21.8
2020-03-11,Transit,35.64
2020-04-29,Retail,-44.94
2020-04-07,Tourism,-72.83
2020-03-02,Retail,11.03
2020-05-02,Retail,-61.52
2020-04-23,Recreational,21.61
2020-03-10,Residential,29.24
2020-03-07,Workplace,11.58
2020-05-06,Transit,-22.65
2020-03-21,Retail,-13.76
2020-04-01,Workplace,-73.53
2020-03-05,Workplace,31.59
2020-04-12,Recreational,-52.36
2020-03-22,Retail,-23.01
2020-03-03,Retail,17.3
2020-04-10,Tourism,-83.63
2020-03-25,Recreational,33.17
2020-04-19,Residential,-17.13
2020-05-06,Tourism,-52.43
2020-04-08,Workplace,-70.76
2020-04-11,Tourism,-75.98
2020-04-07,Retail,-72.42
2020-04-09,Residential,-43.2
2020-04-16,Retail,-72.21
2020-04-28,Tourism,-54.5
2020-03-03,Recreational,26.75
2020-03-10,Recreational,23.31
2020-03-27,Recreational,-35.27
2020-03-11,Retail,17.42
2020-05-05,Retail,-44.69
2020-04-14,Retail,-73.44
2020-03-29,Recreational,-50.87
2020-04-18,Transit,-24.47
2020-04-02,Tourism,-73.22
2020-04-12,Retail,-79.22
2020-04-29,Residential,-19.9
2020-04-11,Residential,-15.18
2020-04-17,Retail,-70.41
2020-03-28,Transit,-30.9
2020-04-08,Tourism,-67.38
2020-03-31,Tourism,-74.02
2020-04-23,Retail,-68.05
2020-05-03,Tourism,-73.51
2020-04-05,Workplace,-57.35
2020-04-11,Workplace,-61.19
2020-04-04,Recreational,-36.84
2020-05-09,Residential,12.46
2020-05-10,Transit,35.05
2020-03-17,Transit,19.65
2020-05-04,Transit,-41.13
2020-05-08,Transit,-20.18
2020-03-05,Residential,30.44
2020-03-15,Recreational,65.21
2020-04-01,Transit,-53.12
2020-04-13,Workplace,-86.62
2020-05-05,Tourism,-55.57
2020-03-12,Retail,17.5
2020-03-12,Workplace,28.9
2020-05-06,Recreational,36.59
2020-03-23,Recreational,5.77
2020-04-25,Residential,-13.5
2020-03-06,Transit,34.19
2020-03-12,Residential,29.37
2020-04-13,Transit,-64.76
2020-03-24,Retail,-13.05
2020-03-25,Transit,-44.49
2020-04-02,Transit,-49.13
2020-04-18,Tourism,-77.94
2020-03-25,Retail,-28.33
2020-03-05,Transit,43.23
2020-04-14,Transit,-54.32
2020-03-29,Transit,-16.75
2020-03-28,Residential,-22.7
2020-04-15,Transit,-51.8
2020-05-08,Tourism,-57.33
2020-04-03,Retail,-70.07
2020-04-02,Retail,-72.74
2020-03-09,Recreational,4.23
2020-05-04,Workplace,-44.73
2020-05-08,Recreational,-20.69
2020-03-14,Residential,30.71
2020-03-18,Retail,5.75
2020-04-27,Residential,-52.23
2020-03-31,Recreational,23.06
2020-03-23,Transit,-9.3
2020-04-11,Recreational,-37.56
2020-05-02,Workplace,-45.57
2020-04-23,Tourism,-70.71
2020-03-10,Transit,43.75
2020-05-02,Residential,-0.7
2020-04-29,Workplace,-41.48
2020-04-10,Recreational,-35.67
2020-03-28,Retail,-82.19
2020-04-06,Recreational,-20.09
2020-04-05,Residential,-15.27
2020-03-18,Transit,22.01
2020-03-19,Workplace,16.7
2020-04-21,Tourism,-72.04
2020-04-24,Transit,-44.1
2020-03-30,Transit,-60.87
2020-03-30,Recreational,-16.54
2020-03-10,Tourism,11.09
2020-04-12,Workplace,-60.25
2020-03-20,Workplace,14.33
2020-04-02,Residential,-46.35
2020-04-16,Transit,-53.99
2020-04-25,Workplace,-61.35
2020-03-30,Retail,-76.55
2020-04-04,Tourism,-78.02
2020-04-24,Retail,-65.75
2020-04-26,Workplace,-51.72
2020-03-11,Recreational,24.26
2020-05-09,Recreational,-24.51
2020-04-06,Retail,-71.96
2020-05-05,Workplace,-40.89
2020-04-10,Residential,-53.09
2020-03-26,Recreational,60.42
2020-05-09,Transit,12.11
2020-04-13,Tourism,-84.31
2020-04-03,Tourism,-72.4
2020-03-09,Tourism,10.96
2020-04-01,Tourism,-73.84
2020-03-26,Tourism,-66.18
2020-04-16,Tourism,-70.58
2020-03-23,Tourism,-20.8
2020-03-28,Tourism,-73.07
2020-03-26,Workplace,-67.85
2020-04-25,Transit,-25.39
2020-03-06,Retail,13.49
2020-03-06,Recreational,52.41
2020-04-30,Tourism,-55.08
2020-03-03,Tourism,19.8
2020-05-08,Residential,-14.95
2020-04-22,Transit,-43.25
2020-05-10,Workplace,-38.74
2020-04-24,Residential,-36.62
2020-03-05,Tourism,14.56
2020-04-30,Residential,-19.91
2020-04-28,Workplace,-43.7
2020-05-07,Workplace,-38.21
2020-04-21,Transit,-50.48
2020-04-10,Retail,-88.05
2020-04-04,Transit,-22.7
2020-04-26,Retail,-69.77
2020-04-23,Residential,-40.35
2020-04-20,Workplace,-72.94
2020-03-02,Workplace,26.81
2020-05-01,Transit,-28.75
2020-04-23,Workplace,-67.5
2020-03-13,Residential,28.89
2020-03-16,Transit,25.74
2020-04-03,Workplace,-71.2
2020-03-17,Recreational,17.86
2020-03-27,Transit,-55.69
2020-04-11,Transit,-25
2020-04-15,Recreational,25.91
2020-04-22,Retail,-67.02
2020-04-28,Transit,-27.07
2020-04-27,Workplace,-84.47
2020-05-06,Workplace,-37.91
2020-05-02,Transit,-4.67
2020-03-24,Transit,-35.78
2020-05-01,Recreational,-31.12
2020-05-04,Residential,-25.49
2020-04-24,Workplace,-65.16
2020-03-16,Workplace,20.27
2020-03-27,Retail,-76.53
2020-03-19,Residential,19.23
2020-03-09,Retail,8.38
2020-04-08,Transit,-56.51
2020-03-31,Workplace,-75.14
2020-03-05,Recreational,32.52
2020-05-03,Recreational,-51.51
2020-05-10,Residential,10.39
2020-04-09,Transit,-55.08
2020-03-15,Retail,1.84
2020-03-18,Recreational,25.75
2020-04-22,Residential,-41.25
2020-04-30,Recreational,34.43
2020-04-26,Tourism,-82.05
2020-04-01,Residential,-48.25
2020-03-24,Tourism,-29.71
2020-04-22,Tourism,-69.29
2020-03-24,Recreational,23.35
2020-03-31,Transit,-54.93
2020-03-10,Retail,12.44
2020-03-07,Recreational,103.9
2020-03-03,Residential,34.01
2020-04-13,Recreational,-25.54
2020-04-21,Workplace,-70.68
2020-04-07,Recreational,15.12
2020-04-21,Recreational,14.2
2020-05-02,Tourism,-75.35
2020-05-07,Tourism,-54.72
2020-04-15,Tourism,-70.53
2020-03-23,Workplace,-2.99
2020-03-22,Workplace,-19.89
2020-04-19,Recreational,-50.81
2020-03-26,Residential,-21.92
2020-03-09,Residential,23.07
2020-05-09,Retail,-60.76
2020-04-13,Retail,-77.95
2020-04-25,Tourism,-81.17
2020-03-21,Residential,7.64
2020-03-02,Recreational,-9.99
2020-03-21,Workplace,-16.59
2020-03-16,Recreational,-15.05
2020-03-16,Retail,9.42
2020-03-11,Tourism,12.65
2020-04-19,Transit,-5.68
2020-04-02,Workplace,-73.35
2020-04-21,Residential,-42.37
2020-04-27,Transit,-58.14
2020-04-18,Residential,-14.53
2020-04-17,Residential,-41.49
2020-03-18,Tourism,-2.2
2020-04-04,Workplace,-65.9
2020-04-30,Retail,-47.25
2020-04-29,Tourism,-55.03
2020-03-19,Retail,5.98
2020-04-18,Retail,-75.98
2020-04-18,Workplace,-63.17
2020-03-08,Tourism,-7.56
2020-04-05,Tourism,-79.56
2020-04-02,Recreational,12.35
2020-03-29,Workplace,-63.01
2020-05-01,Tourism,-59.22
2020-03-10,Workplace,30.55
2020-03-07,Transit,17.88
2020-04-14,Tourism,-70.7
2020-05-06,Retail,-42.29
2020-04-18,Recreational,-39.11
2020-04-07,Transit,-53.82
2020-03-29,Tourism,-80.63
2020-04-01,Recreational,12.98
2020-05-10,Tourism,-71.17
2020-04-27,Recreational,-24.28
2020-03-03,Transit,42.56
2020-04-26,Transit,-8.7
2020-05-09,Workplace,-40.03
2020-04-15,Workplace,-71.2
2020-03-17,Tourism,4.09
2020-03-20,Retail,4.92
2020-03-06,Tourism,14.54
2020-03-19,Recreational,14.49
2020-05-08,Retail,-43.12
2020-03-24,Workplace,-29.42
2020-05-07,Transit,-23.05
2020-05-03,Transit,4.23
2020-03-13,Retail,15.7
2020-03-21,Recreational,11.38
2020-04-19,Retail,-78.23
2020-05-08,Workplace,-36.56
2020-04-05,Retail,-78.98
2020-04-14,Recreational,11.93
2020-04-04,Residential,-16.37
2020-04-29,Transit,-20.24
2020-04-08,Retail,-69
2020-04-03,Transit,-46.88
2020-03-27,Tourism,-75.63
2020-04-29,Recreational,43.92
2020-03-17,Retail,7.19
2020-04-25,Recreational,-37.02
2020-04-17,Recreational,-27.98
