days,regc2018_name,mobility
2020-03-02,Auckland Region,0.7
2020-03-02,Bay of Plenty Region,-3.67
2020-03-02,Canterbury Region,-0.24
2020-03-02,Gisborne Region,-2.32
2020-03-02,Hawke's Bay Region,3.5
2020-03-02,Manawatu-Wanganui Region,2.5
2020-03-02,Marlborough Region,2.67
2020-03-02,Nelson Region,-5.01
2020-03-02,Northland Region,-5.9
2020-03-02,Otago Region,-6.74
2020-03-02,Southland Region,-10.63
2020-03-02,Taranaki Region,2.32
2020-03-02,Tasman Region,-14.74
2020-03-02,Waikato Region,-4.69
2020-03-02,Wellington Region,11.37
2020-03-02,West Coast Region,-9.47
2020-03-03,Auckland Region,0.68
2020-03-03,Bay of Plenty Region,-5.27
2020-03-03,Canterbury Region,-2.5
2020-03-03,Gisborne Region,-4.2
2020-03-03,Hawke's Bay Region,-1.66
2020-03-03,Manawatu-Wanganui Region,1.88
2020-03-03,Marlborough Region,-1.66
2020-03-03,Nelson Region,-10.04
2020-03-03,Northland Region,-2.64
2020-03-03,Otago Region,-6.15
2020-03-03,Southland Region,-8.89
2020-03-03,Taranaki Region,-1.69
2020-03-03,Tasman Region,-5.13
2020-03-03,Waikato Region,-7.18
2020-03-03,Wellington Region,8.22
2020-03-03,West Coast Region,-8.47
2020-03-04,Auckland Region,-1.47
2020-03-04,Bay of Plenty Region,-3.88
2020-03-04,Canterbury Region,-0.93
2020-03-04,Gisborne Region,3.04
2020-03-04,Hawke's Bay Region,-2.3
2020-03-04,Manawatu-Wanganui Region,0.16
2020-03-04,Marlborough Region,-3.25
2020-03-04,Nelson Region,-7.69
2020-03-04,Northland Region,-6.18
2020-03-04,Otago Region,-5.16
2020-03-04,Southland Region,-9.16
2020-03-04,Taranaki Region,-2.12
2020-03-04,Tasman Region,-12.32
2020-03-04,Waikato Region,-5.42
2020-03-04,Wellington Region,9.33
2020-03-04,West Coast Region,-13.17
2020-03-05,Auckland Region,-4.6
2020-03-05,Bay of Plenty Region,-5.34
2020-03-05,Canterbury Region,-2.41
2020-03-05,Gisborne Region,-3.47
2020-03-05,Hawke's Bay Region,-2.52
2020-03-05,Manawatu-Wanganui Region,2.56
2020-03-05,Marlborough Region,0.87
2020-03-05,Nelson Region,-5.69
2020-03-05,Northland Region,-3.55
2020-03-05,Otago Region,-5.6
2020-03-05,Southland Region,-8.31
2020-03-05,Taranaki Region,-3.23
2020-03-05,Tasman Region,-12.81
2020-03-05,Waikato Region,-7.38
2020-03-05,Wellington Region,8
2020-03-05,West Coast Region,-19.26
2020-03-06,Auckland Region,-6.32
2020-03-06,Bay of Plenty Region,-7.16
2020-03-06,Canterbury Region,-5.24
2020-03-06,Gisborne Region,-1.08
2020-03-06,Hawke's Bay Region,-1.71
2020-03-06,Manawatu-Wanganui Region,2.4
2020-03-06,Marlborough Region,4.32
2020-03-06,Nelson Region,-29.85
2020-03-06,Northland Region,-4.2
2020-03-06,Otago Region,-14.29
2020-03-06,Southland Region,-10.21
2020-03-06,Taranaki Region,-9.55
2020-03-06,Tasman Region,-15.62
2020-03-06,Waikato Region,-3.71
2020-03-06,Wellington Region,6.53
2020-03-06,West Coast Region,-4.58
2020-03-07,Auckland Region,-19.85
2020-03-07,Bay of Plenty Region,-6.8
2020-03-07,Canterbury Region,-7.47
2020-03-07,Gisborne Region,-17.94
2020-03-07,Hawke's Bay Region,-5.82
2020-03-07,Manawatu-Wanganui Region,-4.94
2020-03-07,Marlborough Region,5.8
2020-03-07,Nelson Region,-36.48
2020-03-07,Northland Region,-14.68
2020-03-07,Otago Region,-8.83
2020-03-07,Southland Region,-12.52
2020-03-07,Taranaki Region,-8.59
2020-03-07,Tasman Region,-19.85
2020-03-07,Waikato Region,-6.47
2020-03-07,Wellington Region,10.45
2020-03-07,West Coast Region,-0.34
2020-03-08,Auckland Region,-9.81
2020-03-08,Bay of Plenty Region,-5.52
2020-03-08,Canterbury Region,-5.55
2020-03-08,Gisborne Region,-13.39
2020-03-08,Hawke's Bay Region,6.57
2020-03-08,Manawatu-Wanganui Region,-3.87
2020-03-08,Marlborough Region,18
2020-03-08,Nelson Region,-10.84
2020-03-08,Northland Region,-6.02
2020-03-08,Otago Region,-24.73
2020-03-08,Southland Region,-10.95
2020-03-08,Taranaki Region,-4.83
2020-03-08,Tasman Region,-5.82
2020-03-08,Waikato Region,3.87
2020-03-08,Wellington Region,8.77
2020-03-08,West Coast Region,7.26
2020-03-09,Auckland Region,0.73
2020-03-09,Bay of Plenty Region,-0.99
2020-03-09,Canterbury Region,-5.17
2020-03-09,Gisborne Region,-0.53
2020-03-09,Hawke's Bay Region,1.62
2020-03-09,Manawatu-Wanganui Region,1.62
2020-03-09,Marlborough Region,-2.58
2020-03-09,Nelson Region,-25.09
2020-03-09,Northland Region,-5.42
2020-03-09,Otago Region,-16.2
2020-03-09,Southland Region,-9.27
2020-03-09,Taranaki Region,-44.09
2020-03-09,Tasman Region,-18.62
2020-03-09,Waikato Region,-1.89
2020-03-09,Wellington Region,8.92
2020-03-09,West Coast Region,-6.32
2020-03-10,Auckland Region,-2.07
2020-03-10,Bay of Plenty Region,-1.63
2020-03-10,Canterbury Region,-6.63
2020-03-10,Gisborne Region,-5.68
2020-03-10,Hawke's Bay Region,-3.06
2020-03-10,Manawatu-Wanganui Region,-0.9
2020-03-10,Marlborough Region,-9.29
2020-03-10,Nelson Region,-30.39
2020-03-10,Northland Region,-7.9
2020-03-10,Otago Region,-16.69
2020-03-10,Southland Region,-11.89
2020-03-10,Taranaki Region,-0.73
2020-03-10,Tasman Region,-22.12
2020-03-10,Waikato Region,-2.18
2020-03-10,Wellington Region,8.21
2020-03-10,West Coast Region,-9.91
2020-03-11,Auckland Region,-1.63
2020-03-11,Bay of Plenty Region,-0.97
2020-03-11,Canterbury Region,-5.74
2020-03-11,Gisborne Region,-0.74
2020-03-11,Hawke's Bay Region,-2.93
2020-03-11,Manawatu-Wanganui Region,3.18
2020-03-11,Marlborough Region,-8.4
2020-03-11,Nelson Region,-30.46
2020-03-11,Northland Region,-7.78
