sa2_type,timestamp,measure,day,hour,pop_scaled
Recreational,2020-04-27T00:00:00Z,baseline_week,Mon,24,0.98
Recreational,2020-04-27T01:00:00Z,baseline_week,Mon,25,0.98
Recreational,2020-04-27T02:00:00Z,baseline_week,Mon,26,0.98
Recreational,2020-04-27T03:00:00Z,baseline_week,Mon,27,0.98
Recreational,2020-04-27T04:00:00Z,baseline_week,Mon,28,0.98
Recreational,2020-04-27T05:00:00Z,baseline_week,Mon,29,0.98
Recreational,2020-04-27T06:00:00Z,baseline_week,Mon,30,0.98
Recreational,2020-04-27T07:00:00Z,baseline_week,Mon,31,0.98
Recreational,2020-04-27T08:00:00Z,baseline_week,Mon,32,1
Recreational,2020-04-27T09:00:00Z,baseline_week,Mon,33,1.01
Recreational,2020-04-27T10:00:00Z,baseline_week,Mon,34,1.02
Recreational,2020-04-27T11:00:00Z,baseline_week,Mon,35,1.02
Recreational,2020-04-27T12:00:00Z,baseline_week,Mon,36,1.01
Recreational,2020-04-27T13:00:00Z,baseline_week,Mon,37,1.01
Recreational,2020-04-27T14:00:00Z,baseline_week,Mon,38,1.01
Recreational,2020-04-27T15:00:00Z,baseline_week,Mon,39,1.01
Recreational,2020-04-27T16:00:00Z,baseline_week,Mon,40,1.01
Recreational,2020-04-27T17:00:00Z,baseline_week,Mon,41,1.01
Recreational,2020-04-27T18:00:00Z,baseline_week,Mon,42,1
Recreational,2020-04-27T19:00:00Z,baseline_week,Mon,43,1
Recreational,2020-04-27T20:00:00Z,baseline_week,Mon,44,0.99
Recreational,2020-04-27T21:00:00Z,baseline_week,Mon,45,0.98
Recreational,2020-04-27T22:00:00Z,baseline_week,Mon,46,0.97
Recreational,2020-04-27T23:00:00Z,baseline_week,Mon,47,0.96
Recreational,2020-04-28T00:00:00Z,baseline_week,Tue,48,0.97
Recreational,2020-04-28T01:00:00Z,baseline_week,Tue,49,0.97
Recreational,2020-04-28T02:00:00Z,baseline_week,Tue,50,0.97
Recreational,2020-04-28T03:00:00Z,baseline_week,Tue,51,0.97
Recreational,2020-04-28T04:00:00Z,baseline_week,Tue,52,0.97
Recreational,2020-04-28T05:00:00Z,baseline_week,Tue,53,0.96
Recreational,2020-04-28T06:00:00Z,baseline_week,Tue,54,0.96
Recreational,2020-04-28T07:00:00Z,baseline_week,Tue,55,0.96
Recreational,2020-04-28T08:00:00Z,baseline_week,Tue,56,0.97
Recreational,2020-04-28T09:00:00Z,baseline_week,Tue,57,0.99
Recreational,2020-04-28T10:00:00Z,baseline_week,Tue,58,0.99
Recreational,2020-04-28T11:00:00Z,baseline_week,Tue,59,0.99
Recreational,2020-04-28T12:00:00Z,baseline_week,Tue,60,0.98
Recreational,2020-04-28T13:00:00Z,baseline_week,Tue,61,0.97
Recreational,2020-04-28T14:00:00Z,baseline_week,Tue,62,0.98
Recreational,2020-04-28T15:00:00Z,baseline_week,Tue,63,0.98
Recreational,2020-04-28T16:00:00Z,baseline_week,Tue,64,0.98
Recreational,2020-04-28T17:00:00Z,baseline_week,Tue,65,0.98
Recreational,2020-04-28T18:00:00Z,baseline_week,Tue,66,0.98
Recreational,2020-04-28T19:00:00Z,baseline_week,Tue,67,0.97
Recreational,2020-04-28T20:00:00Z,baseline_week,Tue,68,0.96
Recreational,2020-04-28T21:00:00Z,baseline_week,Tue,69,0.96
Recreational,2020-04-28T22:00:00Z,baseline_week,Tue,70,0.95
Recreational,2020-04-28T23:00:00Z,baseline_week,Tue,71,0.95
Recreational,2020-04-29T00:00:00Z,baseline_week,Wed,72,0.96
Recreational,2020-04-29T01:00:00Z,baseline_week,Wed,73,0.96
Recreational,2020-04-29T02:00:00Z,baseline_week,Wed,74,0.96
Recreational,2020-04-29T03:00:00Z,baseline_week,Wed,75,0.95
Recreational,2020-04-29T04:00:00Z,baseline_week,Wed,76,0.95
Recreational,2020-04-29T05:00:00Z,baseline_week,Wed,77,0.95
Recreational,2020-04-29T06:00:00Z,baseline_week,Wed,78,0.95
Recreational,2020-04-29T07:00:00Z,baseline_week,Wed,79,0.95
Recreational,2020-04-29T08:00:00Z,baseline_week,Wed,80,0.97
Recreational,2020-04-29T09:00:00Z,baseline_week,Wed,81,0.98
Recreational,2020-04-29T10:00:00Z,baseline_week,Wed,82,0.99
Recreational,2020-04-29T11:00:00Z,baseline_week,Wed,83,0.98
Recreational,2020-04-29T12:00:00Z,baseline_week,Wed,84,0.97
Recreational,2020-04-29T13:00:00Z,baseline_week,Wed,85,0.97
Recreational,2020-04-29T14:00:00Z,baseline_week,Wed,86,0.97
Recreational,2020-04-29T15:00:00Z,baseline_week,Wed,87,0.98
Recreational,2020-04-29T16:00:00Z,baseline_week,Wed,88,0.98
Recreational,2020-04-29T17:00:00Z,baseline_week,Wed,89,0.97
Recreational,2020-04-29T18:00:00Z,baseline_week,Wed,90,0.97
Recreational,2020-04-29T19:00:00Z,baseline_week,Wed,91,0.96
Recreational,2020-04-29T20:00:00Z,baseline_week,Wed,92,0.96
Recreational,2020-04-29T21:00:00Z,baseline_week,Wed,93,0.95
Recreational,2020-04-29T22:00:00Z,baseline_week,Wed,94,0.94
Recreational,2020-04-29T23:00:00Z,baseline_week,Wed,95,0.94
Recreational,2020-04-30T00:00:00Z,baseline_week,Thu,96,0.95
Recreational,2020-04-30T01:00:00Z,baseline_week,Thu,97,0.95
Recreational,2020-04-30T02:00:00Z,baseline_week,Thu,98,0.95
Recreational,2020-04-30T03:00:00Z,baseline_week,Thu,99,0.95
Recreational,2020-04-30T04:00:00Z,baseline_week,Thu,100,0.95
Recreational,2020-04-30T05:00:00Z,baseline_week,Thu,101,0.95
Recreational,2020-04-30T06:00:00Z,baseline_week,Thu,102,0.94
Recreational,2020-04-30T07:00:00Z,baseline_week,Thu,103,0.95
Recreational,2020-04-30T08:00:00Z,baseline_week,Thu,104,0.95
Recreational,2020-04-30T09:00:00Z,baseline_week,Thu,105,0.97
Recreational,2020-04-30T10:00:00Z,baseline_week,Thu,106,0.98
Recreational,2020-04-30T11:00:00Z,baseline_week,Thu,107,0.98
Recreational,2020-04-30T12:00:00Z,baseline_week,Thu,108,0.97
Recreational,2020-04-30T13:00:00Z,baseline_week,Thu,109,0.97
Recreational,2020-04-30T14:00:00Z,baseline_week,Thu,110,0.97
Recreational,2020-04-30T15:00:00Z,baseline_week,Thu,111,0.97
Recreational,2020-04-30T16:00:00Z,baseline_week,Thu,112,0.97
Recreational,2020-04-30T17:00:00Z,baseline_week,Thu,113,0.97
Recreational,2020-04-30T18:00:00Z,baseline_week,Thu,114,0.97
Recreational,2020-04-30T19:00:00Z,baseline_week,Thu,115,0.97
Recreational,2020-04-30T20:00:00Z,baseline_week,Thu,116,0.96
Recreational,2020-04-30T21:00:00Z,baseline_week,Thu,117,0.95
Recreational,2020-04-30T22:00:00Z,baseline_week,Thu,118,0.95
Recreational,2020-04-30T23:00:00Z,baseline_week,Thu,119,0.94
Recreational,2020-05-01T00:00:00Z,baseline_week,Fri,120,0.92
Recreational,2020-05-01T01:00:00Z,baseline_week,Fri,121,0.92
Recreational,2020-05-01T02:00:00Z,baseline_week,Fri,122,0.92
Recreational,2020-05-01T03:00:00Z,baseline_week,Fri,123,0.92
Recreational,2020-05-01T04:00:00Z,baseline_week,Fri,124,0.92
Recreational,2020-05-01T05:00:00Z,baseline_week,Fri,125,0.92
Recreational,2020-05-01T06:00:00Z,baseline_week,Fri,126,0.91
Recreational,2020-05-01T07:00:00Z,baseline_week,Fri,127,0.92
Recreational,2020-05-01T08:00:00Z,baseline_week,Fri,128,0.94
Recreational,2020-05-01T09:00:00Z,baseline_week,Fri,129,0.96
Recreational,2020-05-01T10:00:00Z,baseline_week,Fri,130,0.96
Recreational,2020-05-01T11:00:00Z,baseline_week,Fri,131,0.96
Recreational,2020-05-01T12:00:00Z,baseline_week,Fri,132,0.95
Recreational,2020-05-01T13:00:00Z,baseline_week,Fri,133,0.95
Recreational,2020-05-01T14:00:00Z,baseline_week,Fri,134,0.95
Recreational,2020-05-01T15:00:00Z,baseline_week,Fri,135,0.95
Recreational,2020-05-01T16:00:00Z,baseline_week,Fri,136,0.95
Recreational,2020-05-01T17:00:00Z,baseline_week,Fri,137,0.95
Recreational,2020-05-01T18:00:00Z,baseline_week,Fri,138,0.95
Recreational,2020-05-01T19:00:00Z,baseline_week,Fri,139,0.94
