days,mobility
2020-03-15,-6.23
2020-03-16,-1.04
2020-03-17,-7.13
2020-03-18,-8.09
2020-03-19,-9.59
2020-03-20,-12.06
2020-03-21,-28.63
2020-03-22,-29.4
2020-03-23,-12.13
2020-03-24,-35.77
2020-03-25,-45.66
2020-03-26,-50.54
2020-03-27,-59.42
2020-03-28,-48.53
2020-03-29,-46.02
2020-03-30,-59.26
2020-03-31,-61.12
2020-04-01,-59.71
2020-04-02,-60.33
2020-04-03,-58.95
2020-04-04,-47.86
2020-04-05,-47.64
2020-04-06,-58.75
2020-04-07,-60.34
2020-04-08,-58.8
2020-04-09,-58.85
2020-04-10,-68.52
2020-04-11,-46.54
2020-04-12,-47.19
2020-04-13,-68.14
2020-04-14,-59.86
2020-04-15,-59.05
2020-04-16,-58.31
2020-04-17,-58.39
2020-04-18,-47.5
2020-04-19,-46.86
2020-04-20,-57.95
2020-04-21,-58.91
2020-04-22,-57.4
2020-04-23,-57.08
2020-04-24,-55.36
2020-04-25,-47.21
2020-04-26,-43.92
2020-04-27,-64.91
2020-04-28,-42.53
2020-04-29,-43.99
2020-04-30,-44.75
2020-05-01,-43.76
2020-05-02,-40.57
2020-05-03,-44.9
2020-05-04,-43.56
2020-05-05,-45.49
2020-05-06,-42.77
2020-05-07,-42.15
2020-05-08,-42.67
2020-05-09,-37.63
2020-05-10,-38.95
2020-05-11,-41.24
2020-05-12,-43.09
2020-05-13,-40.9
2020-05-14,-27.41
2020-05-15,-26.47
2020-05-16,-13.98
2020-05-17,-11.35
2020-05-18,-16.03
