comparison,regc2018_name,mobility
previous_week,Northland Region,0.5
previous_week,Auckland Region,2.5
previous_week,Waikato Region,7
previous_week,Bay of Plenty Region,2.8
previous_week,Gisborne Region,-1.2
previous_week,Hawke's Bay Region,2.4
previous_week,Taranaki Region,6.6
previous_week,Manawatu-Wanganui Region,5
previous_week,Wellington Region,4.1
previous_week,West Coast Region,12.4
previous_week,Canterbury Region,6.9
previous_week,Otago Region,7.5
previous_week,Southland Region,10.5
previous_week,Tasman Region,7.7
previous_week,Nelson Region,4.6
previous_week,Marlborough Region,3.7
previous_year,Northland Region,14.2
previous_year,Auckland Region,-11.9
previous_year,Waikato Region,-2.7
previous_year,Bay of Plenty Region,3.7
previous_year,Gisborne Region,1.8
previous_year,Hawke's Bay Region,-7.8
previous_year,Taranaki Region,-5.5
previous_year,Manawatu-Wanganui Region,-5.7
previous_year,Wellington Region,-21.8
previous_year,West Coast Region,26.5
previous_year,Canterbury Region,-4.3
previous_year,Otago Region,1.4
previous_year,Southland Region,2.6
previous_year,Tasman Region,4.8
previous_year,Nelson Region,5.1
previous_year,Marlborough Region,13.8
