sa2_type,timestamp,measure,day,hour,pop_scaled
Recreational,2020-05-18T00:00:00Z,baseline_week,Mon,24,0.91
Recreational,2020-05-18T01:00:00Z,baseline_week,Mon,25,0.9
Recreational,2020-05-18T02:00:00Z,baseline_week,Mon,26,0.89
Recreational,2020-05-18T03:00:00Z,baseline_week,Mon,27,0.88
Recreational,2020-05-18T04:00:00Z,baseline_week,Mon,28,0.88
Recreational,2020-05-18T05:00:00Z,baseline_week,Mon,29,0.89
Recreational,2020-05-18T06:00:00Z,baseline_week,Mon,30,0.9
Recreational,2020-05-18T07:00:00Z,baseline_week,Mon,31,0.91
Recreational,2020-05-18T08:00:00Z,baseline_week,Mon,32,0.91
Recreational,2020-05-18T09:00:00Z,baseline_week,Mon,33,0.9
Recreational,2020-05-18T10:00:00Z,baseline_week,Mon,34,0.89
Recreational,2020-05-18T11:00:00Z,baseline_week,Mon,35,0.89
Recreational,2020-05-18T12:00:00Z,baseline_week,Mon,36,0.89
Recreational,2020-05-18T13:00:00Z,baseline_week,Mon,37,0.88
Recreational,2020-05-18T14:00:00Z,baseline_week,Mon,38,0.88
Recreational,2020-05-18T15:00:00Z,baseline_week,Mon,39,0.88
Recreational,2020-05-18T16:00:00Z,baseline_week,Mon,40,0.88
Recreational,2020-05-18T17:00:00Z,baseline_week,Mon,41,0.89
Recreational,2020-05-18T18:00:00Z,baseline_week,Mon,42,0.89
Recreational,2020-05-18T19:00:00Z,baseline_week,Mon,43,0.9
Recreational,2020-05-18T20:00:00Z,baseline_week,Mon,44,0.9
Recreational,2020-05-18T21:00:00Z,baseline_week,Mon,45,0.92
Recreational,2020-05-18T22:00:00Z,baseline_week,Mon,46,0.92
Recreational,2020-05-18T23:00:00Z,baseline_week,Mon,47,0.91
Recreational,2020-05-19T00:00:00Z,baseline_week,Tue,48,0.9
Recreational,2020-05-19T01:00:00Z,baseline_week,Tue,49,0.89
Recreational,2020-05-19T02:00:00Z,baseline_week,Tue,50,0.89
Recreational,2020-05-19T03:00:00Z,baseline_week,Tue,51,0.89
Recreational,2020-05-19T04:00:00Z,baseline_week,Tue,52,0.89
Recreational,2020-05-19T05:00:00Z,baseline_week,Tue,53,0.9
Recreational,2020-05-19T06:00:00Z,baseline_week,Tue,54,0.9
Recreational,2020-05-19T07:00:00Z,baseline_week,Tue,55,0.91
Recreational,2020-05-19T08:00:00Z,baseline_week,Tue,56,0.92
Recreational,2020-05-19T09:00:00Z,baseline_week,Tue,57,0.9
Recreational,2020-05-19T10:00:00Z,baseline_week,Tue,58,0.9
Recreational,2020-05-19T11:00:00Z,baseline_week,Tue,59,0.9
Recreational,2020-05-19T12:00:00Z,baseline_week,Tue,60,0.9
Recreational,2020-05-19T13:00:00Z,baseline_week,Tue,61,0.9
Recreational,2020-05-19T14:00:00Z,baseline_week,Tue,62,0.89
Recreational,2020-05-19T15:00:00Z,baseline_week,Tue,63,0.88
Recreational,2020-05-19T16:00:00Z,baseline_week,Tue,64,0.89
Recreational,2020-05-19T17:00:00Z,baseline_week,Tue,65,0.9
Recreational,2020-05-19T18:00:00Z,baseline_week,Tue,66,0.91
Recreational,2020-05-19T19:00:00Z,baseline_week,Tue,67,0.92
Recreational,2020-05-19T20:00:00Z,baseline_week,Tue,68,0.91
Recreational,2020-05-19T21:00:00Z,baseline_week,Tue,69,0.92
Recreational,2020-05-19T22:00:00Z,baseline_week,Tue,70,0.91
Recreational,2020-05-19T23:00:00Z,baseline_week,Tue,71,0.9
