timestamp,segment,pop,days
2020-03-15T12:00:00Z,domestic,488328,2020-03-15
2020-03-15T12:00:00Z,international,253644,2020-03-15
2020-03-15T12:00:00Z,local,4339692,2020-03-15
2020-03-15T12:00:00Z,unknown,77238,2020-03-15
2020-03-16T12:00:00Z,domestic,353079,2020-03-16
2020-03-16T12:00:00Z,international,243402,2020-03-16
2020-03-16T12:00:00Z,local,4493631,2020-03-16
2020-03-16T12:00:00Z,unknown,66432,2020-03-16
2020-03-17T12:00:00Z,domestic,337605,2020-03-17
2020-03-17T12:00:00Z,international,234342,2020-03-17
2020-03-17T12:00:00Z,local,4519272,2020-03-17
2020-03-17T12:00:00Z,unknown,61362,2020-03-17
2020-03-18T12:00:00Z,domestic,336216,2020-03-18
2020-03-18T12:00:00Z,international,226362,2020-03-18
2020-03-18T12:00:00Z,local,4527837,2020-03-18
2020-03-18T12:00:00Z,unknown,57990,2020-03-18
2020-03-19T12:00:00Z,domestic,332370,2020-03-19
2020-03-19T12:00:00Z,international,217194,2020-03-19
2020-03-19T12:00:00Z,local,4538601,2020-03-19
2020-03-19T12:00:00Z,unknown,56238,2020-03-19
2020-03-20T12:00:00Z,domestic,338085,2020-03-20
2020-03-20T12:00:00Z,international,207900,2020-03-20
2020-03-20T12:00:00Z,local,4539321,2020-03-20
2020-03-20T12:00:00Z,unknown,54009,2020-03-20
2020-03-21T12:00:00Z,domestic,393825,2020-03-21
2020-03-21T12:00:00Z,international,198132,2020-03-21
2020-03-21T12:00:00Z,local,4494345,2020-03-21
2020-03-21T12:00:00Z,unknown,47445,2020-03-21
2020-03-22T12:00:00Z,domestic,362379,2020-03-22
2020-03-22T12:00:00Z,international,189246,2020-03-22
2020-03-22T12:00:00Z,local,4534836,2020-03-22
2020-03-22T12:00:00Z,unknown,42222,2020-03-22
2020-03-23T12:00:00Z,domestic,287034,2020-03-23
2020-03-23T12:00:00Z,international,181926,2020-03-23
2020-03-23T12:00:00Z,local,4613655,2020-03-23
2020-03-23T12:00:00Z,unknown,44829,2020-03-23
2020-03-24T12:00:00Z,domestic,278238,2020-03-24
2020-03-24T12:00:00Z,international,175134,2020-03-24
2020-03-24T12:00:00Z,local,4619760,2020-03-24
2020-03-24T12:00:00Z,unknown,50772,2020-03-24
2020-03-25T12:00:00Z,domestic,271833,2020-03-25
2020-03-25T12:00:00Z,international,171825,2020-03-25
2020-03-25T12:00:00Z,local,4629918,2020-03-25
2020-03-25T12:00:00Z,unknown,49656,2020-03-25
2020-03-26T12:00:00Z,domestic,231858,2020-03-26
2020-03-26T12:00:00Z,international,169107,2020-03-26
2020-03-26T12:00:00Z,local,4678329,2020-03-26
2020-03-26T12:00:00Z,unknown,42267,2020-03-26
2020-03-27T12:00:00Z,domestic,210300,2020-03-27
2020-03-27T12:00:00Z,international,166989,2020-03-27
2020-03-27T12:00:00Z,local,4701285,2020-03-27
2020-03-27T12:00:00Z,unknown,42393,2020-03-27
2020-03-28T12:00:00Z,domestic,187668,2020-03-28
2020-03-28T12:00:00Z,international,164568,2020-03-28
2020-03-28T12:00:00Z,local,4721223,2020-03-28
2020-03-28T12:00:00Z,unknown,46677,2020-03-28
2020-03-29T12:00:00Z,domestic,174561,2020-03-29
2020-03-29T12:00:00Z,international,162777,2020-03-29
2020-03-29T12:00:00Z,local,4737966,2020-03-29
2020-03-29T12:00:00Z,unknown,43215,2020-03-29
2020-03-30T12:00:00Z,domestic,172452,2020-03-30
2020-03-30T12:00:00Z,international,160872,2020-03-30
2020-03-30T12:00:00Z,local,4744485,2020-03-30
2020-03-30T12:00:00Z,unknown,36537,2020-03-30
2020-03-31T12:00:00Z,domestic,151092,2020-03-31
2020-03-31T12:00:00Z,international,160926,2020-03-31
2020-03-31T12:00:00Z,local,4762563,2020-03-31
2020-03-31T12:00:00Z,unknown,40893,2020-03-31
